Potential_Savings_Groceries,Potential_Savings_Transport,Potential_Savings_Eating_Out,Potential_Savings_Entertainment,Potential_Savings_Utilities,Potential_Savings_Healthcare,Potential_Savings_Education,Potential_Savings_Miscellaneous
1218.27,227.26,233.46,86.78,396.78,0.65,53.03,72.93
528.04,285.75,93.46,170.36,64.05,12.34,0.0,33.09
367.88,165.2,73.71,148.84,145.22,60.48,58.72,142.34
458.71,430.8,466.04,427.46,307.96,18.23,91.93,146.99
1096.04,435.41,100.01,142.73,418.95,34.19,20.8,204.96
1363.37,563.23,254.66,184.74,597.44,27.29,191.22,145.25
146.79,50.1,97.21,202.37,114.51,20.71,58.6,92.09
420.55,377.2,119.44,361.16,258.14,25.07,54.48,99.33
187.18,154.05,93.43,128.57,79.55,1.54,11.83,62.06
371.88,124.09,179.14,162.09,228.07,32.72,44.36,20.44
277.91,292.27,149.67,68.06,59.38,6.66,9.82,72.45
632.95,110.53,49.73,146.28,111.87,3.65,14.85,16.49
1369.07,1328.74,565.93,799.49,1526.51,114.68,2.77,275.89
754.48,274.23,374.58,838.71,623.81,112.04,208.28,182.27
525.58,981.39,259.29,647.05,849.56,75.55,75.3,117.63
113.35,168.09,32.61,79.11,133.79,7.44,0.0,32.79
442.94,326.1,81.15,158.08,223.84,43.34,0.0,48.45
1808.34,1116.71,568.48,182.25,1346.46,16.35,0.0,286.37
1313.19,268.92,142.18,209.08,338.34,21.95,81.13,44.32
8343.76,3759.71,1446.64,370.88,874.13,168.48,135.99,521.11
1741.84,162.07,75.62,119.94,376.52,21.72,0.64,174.66
845.26,171.18,200.71,265.69,278.49,37.79,23.21,129.54
847.95,235.49,82.86,75.41,128.55,25.72,40.94,22.79
964.63,471.19,289.48,333.58,209.13,22.73,126.19,201.73
437.76,270.36,31.14,52.8,98.19,26.28,45.61,89.81
1303.65,678.67,485.6,337.78,773.22,46.75,140.92,127.83
2559.6,1015.08,414.05,412.88,248.72,19.51,268.91,106.0
223.58,51.81,71.81,90.71,212.29,20.89,7.12,61.79
270.31,32.71,116.24,33.09,67.91,11.35,23.45,29.18
193.48,67.03,94.16,31.11,44.08,9.74,13.79,40.14
591.24,309.32,413.32,315.53,679.88,17.45,0.0,58.34
195.53,153.78,61.39,77.47,193.39,5.42,0.16,68.54
140.37,50.17,48.89,18.53,19.4,11.82,0.0,12.33
580.53,641.41,148.32,173.54,438.19,67.48,0.0,171.49
4609.92,1284.03,1516.81,2160.59,884.58,192.19,656.76,286.93
449.47,472.92,172.53,369.74,449.3,20.45,81.84,74.56
1073.81,1145.33,127.05,197.9,838.97,86.13,111.22,408.6
990.75,223.45,335.15,308.54,359.18,40.85,54.18,128.6
292.73,254.83,257.19,100.44,117.47,13.16,41.14,71.9
1194.85,1006.65,164.01,234.55,528.2,91.04,98.45,405.07
548.32,212.97,237.28,109.58,259.43,18.04,0.0,149.01
484.32,509.77,65.89,235.97,123.96,17.07,99.9,127.21
819.57,753.16,295.04,283.67,364.04,11.48,39.58,163.78
191.17,48.56,55.72,64.13,109.31,4.15,59.28,118.21
663.41,718.67,251.35,437.14,363.65,34.27,82.12,354.09
343.88,303.03,97.87,189.32,143.67,29.26,2.08,138.83
451.1,113.16,182.79,52.46,117.72,9.21,64.78,47.36
1651.34,587.3,97.09,277.16,175.72,73.12,0.0,293.88
190.33,64.22,81.61,56.44,174.17,13.98,24.06,21.09
947.54,214.01,269.25,285.42,377.06,10.61,0.0,236.48
986.97,324.37,115.77,320.88,536.82,24.32,62.29,249.86
2134.18,451.49,110.42,448.5,742.39,15.82,34.67,111.67
866.65,715.91,296.67,343.15,237.85,17.08,18.17,172.43
856.71,262.96,92.42,77.62,397.7,4.89,63.09,32.62
2352.47,922.28,497.28,579.41,501.47,53.57,140.84,152.38
3348.93,1458.66,466.01,471.7,1698.96,151.51,21.21,276.2
503.18,641.67,76.84,274.45,653.0,59.78,77.03,73.28
449.06,332.58,137.43,180.03,443.09,43.62,82.48,47.81
272.93,51.42,18.35,61.38,50.11,11.4,22.72,61.16
186.17,233.04,73.05,145.41,155.86,20.44,51.38,83.43
409.1,90.65,150.85,313.56,335.05,4.16,51.88,163.93
510.44,292.28,105.05,40.65,183.38,2.62,49.89,63.14
975.36,403.08,175.54,146.04,362.31,28.72,41.11,53.78
386.35,158.2,162.1,99.79,203.4,16.96,14.29,54.14
762.97,685.89,345.6,339.68,738.09,44.74,74.62,75.72
329.86,187.27,266.77,93.49,144.16,53.69,57.32,141.41
342.05,426.37,407.46,233.85,209.23,66.79,2.77,73.8
351.22,154.17,195.64,118.3,465.89,2.1,54.6,24.74
102.26,71.77,39.39,38.09,45.98,13.42,0.89,24.58
169.24,232.78,148.36,150.92,231.22,18.73,19.86,71.46
665.08,206.21,72.54,257.82,247.16,0.32,0.0,56.14
122.28,69.1,121.51,27.84,68.53,6.66,35.52,37.92
1288.1,778.88,522.4,113.61,298.48,12.95,5.96,196.67
2644.06,826.93,427.64,581.7,893.58,206.77,4.64,321.91
892.97,1420.94,291.81,694.25,1274.83,109.53,60.1,195.89
461.5,218.37,140.51,163.36,462.93,8.88,72.52,22.8
2366.53,1192.47,598.95,712.11,1012.72,37.15,284.78,206.67
1135.99,377.55,159.23,50.02,317.15,33.11,14.91,123.72
493.25,256.7,71.43,111.79,348.52,26.52,48.44,45.74
622.89,304.34,134.3,139.91,164.52,6.17,9.94,60.57
648.91,211.01,39.75,128.48,264.57,13.37,42.03,68.12
476.35,77.29,140.92,110.43,97.44,45.01,0.0,130.88
633.55,183.69,321.25,251.36,278.31,13.55,0.0,268.95
826.07,497.47,203.28,332.06,784.25,3.3,25.7,34.53
595.09,202.31,152.7,312.21,316.52,41.76,85.08,41.96
1227.27,295.51,247.13,351.89,227.46,78.66,2.52,212.29
1857.87,689.13,398.14,152.44,448.3,84.4,10.87,152.79
1034.18,656.1,156.76,161.41,450.92,46.0,4.08,260.39
172.02,49.73,12.07,43.86,101.91,7.24,18.17,67.33
44.12,57.19,15.06,42.89,47.76,4.13,1.64,5.25
530.06,1051.73,260.92,162.71,1053.61,70.52,131.23,151.28
198.82,73.96,51.93,37.33,66.54,8.0,0.0,63.56
183.02,356.16,111.61,93.32,123.96,33.1,92.44,144.08
491.76,234.54,109.13,40.72,142.03,22.61,28.75,12.31
131.92,94.76,60.13,19.86,98.7,6.75,7.6,25.7
1006.85,674.41,200.3,159.99,183.35,104.44,93.57,132.43
1253.23,814.84,91.18,502.96,509.61,55.98,0.0,427.5
554.66,207.92,110.24,81.73,80.19,23.94,6.28,97.48
57.5,27.51,36.0,29.54,12.36,3.15,5.79,12.08
650.06,266.79,172.54,132.46,87.82,27.93,34.49,92.54
983.78,292.86,425.61,122.97,381.84,39.21,57.98,151.2
247.15,144.76,30.67,49.73,121.06,18.98,2.06,9.93
521.82,207.15,165.36,84.27,471.27,2.24,83.49,87.72
249.71,369.06,91.56,122.56,190.67,29.65,0.0,79.8
1232.5,629.21,361.54,378.45,579.31,42.08,42.16,263.57
519.48,408.68,165.34,145.11,149.97,29.44,13.52,72.45
162.52,150.99,96.7,173.12,216.66,3.31,0.0,39.38
2316.22,792.8,233.23,514.48,1442.25,3.55,203.43,147.75
589.42,364.41,96.74,284.7,169.57,25.1,92.72,42.55
621.18,508.22,230.91,362.23,310.86,42.68,76.48,113.2
170.32,212.0,105.71,46.39,305.17,4.8,0.0,31.94
821.22,209.33,182.97,224.13,160.31,26.35,0.0,100.37
476.65,90.32,171.27,59.44,90.39,11.36,11.19,59.04
800.68,598.28,139.36,100.03,355.71,20.88,64.43,66.62
4104.13,2171.83,1438.13,643.51,853.27,90.94,365.12,860.1
202.34,181.34,90.4,53.65,154.15,11.75,5.1,16.02
91.36,72.98,19.29,33.12,73.27,3.13,20.91,37.9
1401.58,1505.51,216.62,514.16,1032.18,93.8,220.25,440.3
360.67,327.82,220.76,174.58,125.7,7.02,62.86,91.37
127.85,169.77,175.45,108.8,131.43,38.19,0.0,33.46
573.16,567.16,656.38,313.92,1490.03,83.43,0.0,206.46
138.37,311.53,152.97,123.48,174.34,16.69,0.0,48.03
1367.33,2677.22,397.77,733.78,536.87,171.69,240.85,379.35
2052.79,581.73,538.28,251.18,391.31,43.23,52.4,66.94
198.07,265.24,65.44,164.6,111.63,9.99,20.35,39.5
3281.78,850.51,2067.49,425.48,1549.56,281.5,332.99,493.82
551.08,94.16,40.71,103.33,338.02,35.6,38.44,86.5
2370.37,174.93,430.54,96.97,815.13,57.56,0.0,360.43
289.56,398.03,207.54,414.19,107.26,39.14,19.99,57.87
2573.52,1288.32,480.0,362.09,1050.69,130.31,144.47,362.77
3220.04,1223.09,1239.73,511.79,571.39,83.99,0.0,464.01
850.82,294.34,235.03,134.76,241.09,27.71,58.84,256.5
139.94,256.91,54.32,46.32,203.55,27.46,33.0,64.21
296.65,430.16,168.75,593.48,582.65,15.84,144.78,127.61
752.67,98.24,124.19,33.65,104.99,8.31,46.35,23.8
4931.19,1643.23,1830.18,919.1,644.93,173.19,279.23,602.27
692.23,179.76,112.89,168.55,470.69,61.76,74.71,203.13
511.4,357.8,233.71,140.2,174.79,10.11,23.89,101.01
1066.43,264.99,44.16,91.4,608.53,37.48,89.65,79.33
138.44,67.94,46.12,44.73,89.52,17.42,8.06,52.18
408.14,210.76,37.17,26.78,67.8,14.9,30.62,38.34
1385.37,273.76,503.25,340.17,351.86,131.21,40.51,228.84
366.8,150.21,117.77,102.04,117.71,32.11,0.0,72.47
324.1,264.41,150.14,24.07,89.72,17.22,53.74,20.74
1591.74,243.0,153.64,630.08,283.76,6.41,77.19,60.36
625.44,1242.41,800.25,795.79,702.01,78.62,247.25,271.64
1442.65,734.92,186.78,370.52,611.87,80.96,6.98,60.43
1296.33,259.02,475.56,570.27,640.57,40.72,0.0,412.64
242.82,292.29,139.61,120.76,95.29,10.91,15.86,89.34
230.15,154.26,97.0,111.25,121.27,3.5,8.6,15.89
2706.42,1184.42,525.29,1083.06,1085.11,87.91,193.8,128.34
265.74,188.69,80.23,253.97,198.29,19.53,27.57,99.18
489.44,206.67,121.04,132.82,317.45,10.76,3.82,166.52
736.31,1103.94,1184.92,649.41,841.15,139.94,214.26,153.07
1298.01,946.28,136.19,136.96,217.29,58.54,0.0,113.42
1218.22,169.07,278.07,230.77,400.1,11.49,99.01,218.54
2864.2,1369.84,416.55,1276.71,946.5,6.3,81.09,698.84
468.96,218.25,110.69,182.93,107.18,14.8,0.0,50.62
2240.03,463.02,381.5,699.9,655.61,32.78,88.54,101.7
415.05,539.42,292.06,117.79,345.37,24.18,64.77,140.99
377.23,441.84,148.76,136.3,159.48,7.31,57.43,240.38
2031.57,1838.23,255.15,511.73,1606.35,169.18,170.68,527.7
841.89,389.78,328.93,315.24,209.9,34.84,169.59,229.25
398.64,405.23,373.23,374.79,414.16,30.3,112.54,98.02
2533.26,582.65,261.14,315.61,357.31,94.73,132.79,581.04
531.39,139.88,259.86,272.99,347.26,28.65,24.4,86.48
447.81,140.14,40.76,93.38,171.17,8.58,17.43,79.23
115.43,163.37,36.61,89.7,147.18,22.25,27.71,39.78
55.3,70.17,41.96,37.85,64.94,12.92,0.0,27.86
4834.06,2346.16,750.78,1742.76,1927.16,97.89,88.11,566.59
115.64,118.43,67.55,32.41,219.44,3.57,0.0,36.47
655.73,341.21,234.59,70.52,233.48,36.04,70.73,195.08
395.07,281.48,200.02,60.25,273.18,20.84,43.76,150.4
1405.9,190.23,429.94,380.98,269.08,79.73,0.0,204.55
709.26,1008.03,306.97,332.18,432.0,0.8,0.0,111.75
477.26,966.16,236.75,424.39,331.34,36.25,36.43,260.17
271.03,142.36,110.14,90.06,313.33,31.74,6.98,113.67
304.19,131.11,88.59,132.9,304.66,40.76,66.81,149.06
1286.89,548.66,204.87,283.8,146.85,37.41,23.19,217.98
595.65,167.42,126.64,155.47,514.67,17.33,43.94,64.94
3633.38,587.79,397.04,669.72,1283.21,58.75,0.0,348.06
1000.53,219.53,237.49,402.28,502.29,6.59,151.32,360.06
1212.2,791.68,143.06,133.35,611.6,101.39,47.36,292.05
835.68,668.68,496.64,399.97,992.33,10.62,174.87,153.36
2068.16,546.02,441.37,793.96,610.66,63.51,22.03,112.02
671.62,405.06,110.44,229.84,250.29,2.7,72.87,166.77
339.39,83.19,17.71,36.59,95.39,17.46,26.67,62.43
1032.52,423.39,206.65,154.14,171.15,10.33,162.35,119.81
236.72,94.66,128.38,43.97,211.59,15.23,0.2,113.75
605.15,229.17,141.8,108.4,119.86,10.19,27.08,25.11
537.89,544.07,260.34,201.68,252.48,18.16,198.38,241.59
2531.9,609.82,642.61,521.11,615.99,38.6,136.85,531.63
557.5,451.79,146.53,168.13,153.93,57.49,87.83,94.34
704.73,555.6,89.85,270.52,579.8,10.15,164.31,96.85
950.2,1688.54,822.3,729.93,1872.88,168.92,213.72,138.41
1348.39,509.19,312.55,273.24,334.22,9.11,0.0,232.35
1562.7,2325.13,1940.25,2104.96,777.13,105.08,1.68,1327.42
1101.08,1123.33,94.43,532.53,984.31,30.03,102.35,95.84
188.22,100.87,38.72,53.77,102.29,12.77,18.77,40.56
584.55,547.01,265.35,270.04,203.49,44.89,123.54,119.55
469.37,764.47,99.71,310.24,483.7,9.23,95.16,192.33
3086.09,1160.7,357.96,242.55,970.27,60.67,34.26,191.86
521.39,245.65,430.23,545.91,458.28,56.28,35.58,168.27
361.04,177.37,53.29,195.33,318.05,6.98,0.0,48.52
215.98,174.83,71.18,68.54,224.36,4.56,28.04,25.67
160.24,289.8,73.22,120.54,547.25,36.88,74.98,64.51
485.72,137.29,179.81,131.05,119.88,10.13,43.26,24.38
280.4,207.47,91.22,58.05,197.94,10.56,12.56,54.58
509.46,754.63,553.89,183.66,436.96,31.59,113.75,164.17
1061.08,659.09,205.25,917.32,1034.06,19.87,177.44,413.04
1028.34,454.0,431.67,86.58,591.31,99.01,0.0,140.72
353.75,95.09,43.21,26.46,75.61,4.53,0.47,8.62
567.42,739.2,391.65,193.72,337.08,36.58,192.28,197.31
2821.08,797.74,445.62,675.16,953.36,15.77,223.57,205.22
613.66,101.86,76.81,112.76,300.72,14.45,44.55,36.71
638.48,348.96,105.38,166.24,444.6,30.29,17.91,68.03
498.61,554.85,217.86,305.0,227.68,21.35,96.87,102.48
310.82,165.1,84.59,68.32,283.77,17.96,0.0,67.19
1131.31,549.86,228.32,116.31,661.25,69.63,0.0,172.93
993.99,580.78,185.1,64.51,532.98,44.65,0.0,32.79
1054.68,506.15,121.02,192.94,127.57,18.24,0.0,72.88
215.73,155.81,157.43,58.0,160.19,25.23,14.67,23.36
401.23,164.27,150.0,183.36,99.05,6.17,13.63,104.37
1852.9,1038.05,674.84,693.37,330.41,23.13,137.31,79.15
624.3,111.39,56.93,138.8,191.49,19.7,67.89,54.87
1734.23,1640.9,427.36,920.87,1510.84,59.32,267.73,151.04
948.78,468.33,41.77,131.08,248.97,2.84,0.0,102.31
686.47,761.11,117.07,464.43,101.83,14.7,48.55,72.13
477.48,401.04,462.61,403.78,867.09,101.72,0.17,311.39
73.85,78.77,24.44,53.69,197.38,13.39,16.06,44.59
282.68,96.09,22.55,15.5,150.04,5.93,0.0,7.13
385.52,55.99,23.75,82.82,88.64,14.86,13.64,6.54
1578.1,1205.43,227.26,411.28,698.8,31.0,136.76,219.37
254.41,86.84,104.48,91.12,225.33,7.36,0.0,114.17
2069.89,2234.5,1363.96,1209.5,3479.67,196.51,866.49,388.91
683.72,366.25,75.73,125.33,71.32,11.95,18.91,117.43
584.12,360.55,95.95,134.66,418.18,2.86,0.0,81.82
1428.22,1617.06,1309.65,655.0,2202.93,7.55,171.61,179.12
2024.89,1501.36,800.81,1683.41,1583.04,3.83,416.53,1306.35
3076.2,3711.94,1946.63,925.3,583.47,19.38,522.02,148.88
1281.61,329.44,534.56,199.77,484.74,88.98,86.01,119.59
1183.63,547.66,567.16,175.82,783.9,32.76,162.15,166.58
514.52,253.77,354.11,348.31,606.37,85.47,36.95,146.58
1479.4,932.82,96.97,84.69,1029.71,68.12,62.87,281.24
314.68,416.37,55.55,103.55,134.8,5.1,42.96,58.18
475.3,237.71,102.53,193.63,239.9,10.22,3.3,69.75
617.2,369.94,326.15,189.16,274.56,42.61,21.33,104.76
742.73,383.7,62.82,151.84,325.53,1.86,43.65,91.58
457.59,256.55,173.28,126.9,255.82,34.11,15.63,141.94
1239.44,829.53,654.86,441.63,400.37,40.56,12.57,138.43
1758.13,783.18,697.39,459.26,821.21,140.59,71.41,373.38
670.75,444.89,146.52,132.06,378.71,21.28,102.94,174.59
3008.21,421.01,442.06,368.24,1274.36,94.68,296.39,590.32
71.84,84.82,94.97,101.45,179.99,8.19,6.81,17.92
292.69,274.8,180.94,90.29,201.93,25.39,55.7,136.01
587.93,172.87,91.23,97.01,118.86,15.88,16.85,58.67
200.88,22.67,20.78,84.21,135.95,1.41,23.09,4.6
880.86,188.32,202.61,207.75,347.68,20.77,7.87,73.16
272.39,332.84,114.21,119.34,182.6,54.32,80.84,40.46
1889.95,494.47,634.58,350.33,1191.86,125.18,414.27,344.35
987.11,830.43,360.51,688.45,996.34,71.22,0.0,104.01
293.47,133.21,54.93,138.84,111.87,5.17,28.18,32.61
1226.08,1322.95,991.24,363.06,565.92,187.85,7.86,271.07
1419.69,612.09,175.27,483.71,829.07,6.01,57.88,400.49
1041.46,698.97,262.76,233.53,187.24,36.19,191.31,104.2
218.98,346.14,97.71,34.4,251.81,23.28,18.78,90.06
272.09,80.96,121.68,61.97,213.17,10.09,0.0,78.62
604.4,325.93,125.69,154.27,339.58,5.05,0.0,53.53
2271.17,815.86,554.83,620.68,898.93,133.86,65.95,285.23
2660.51,744.28,1062.77,726.2,1626.01,115.59,209.51,558.2
2679.16,951.84,469.43,1421.33,2110.0,83.26,0.0,79.46
473.03,230.35,177.3,171.83,88.17,11.77,72.0,54.35
67.3,268.02,28.18,63.55,133.4,2.77,29.77,33.62
762.65,346.01,62.56,230.75,377.53,12.34,66.89,81.67
224.22,110.96,24.34,51.3,88.68,7.95,18.95,25.98
330.2,313.33,207.98,270.41,285.81,3.18,75.76,127.77
883.07,568.56,186.21,280.53,163.41,1.07,37.2,119.44
337.03,306.75,64.6,28.48,92.62,0.55,14.13,86.63
74.7,48.52,10.96,27.86,75.25,1.56,22.3,30.57
495.48,735.45,77.39,261.71,917.28,16.63,77.4,173.04
419.83,335.87,187.29,65.49,203.7,10.1,20.24,31.35
274.58,185.48,71.09,53.0,163.51,19.07,5.32,25.99
37.45,9.57,11.19,14.3,29.26,5.04,4.79,5.18
671.33,416.9,298.75,103.71,276.8,24.14,20.65,155.76
1451.17,1446.48,418.76,1766.68,1670.75,116.56,449.45,185.94
1808.4,464.95,524.51,1425.84,1073.39,100.3,163.69,479.56
291.3,449.47,201.76,132.49,63.36,9.22,34.75,24.29
292.76,117.92,46.18,131.46,81.25,6.53,0.0,112.32
1657.96,439.28,161.98,246.51,408.9,21.06,41.76,237.81
147.84,233.26,63.7,156.85,190.49,22.99,2.72,45.24
812.57,266.1,277.4,393.4,505.65,21.73,127.08,120.24
496.81,735.04,707.29,100.23,617.87,13.11,70.3,251.15
3160.27,421.1,632.92,201.16,814.46,157.24,283.29,463.62
1061.9,583.83,255.38,81.99,139.01,13.48,15.32,43.4
204.42,432.89,158.84,136.94,149.77,2.76,0.0,127.7
321.45,219.1,158.29,109.24,207.74,27.88,39.83,63.7
261.45,245.93,23.14,155.57,233.22,14.37,15.33,56.62
894.5,277.51,301.69,211.78,308.52,5.08,21.69,127.25
454.01,489.74,116.97,248.73,367.98,39.59,2.32,105.59
2626.26,207.49,237.89,307.46,1131.32,29.73,9.66,247.21
183.58,61.4,38.16,162.15,183.91,31.4,53.11,96.63
2382.63,476.24,260.73,925.67,742.21,82.41,25.78,169.55
221.4,352.86,117.77,145.19,131.87,45.5,44.54,59.69
947.22,179.34,88.1,263.88,428.59,12.49,14.48,114.15
169.3,275.66,124.16,72.21,335.68,22.11,0.0,39.46
89.25,68.38,25.61,49.0,75.03,3.28,2.68,10.1
989.85,803.51,255.98,244.29,819.01,92.23,22.47,395.09
1337.88,603.67,156.52,424.87,428.45,60.8,0.0,257.45
606.5,340.07,160.3,70.08,89.01,2.75,68.23,63.44
1189.37,124.38,111.57,260.14,389.44,2.4,52.88,186.53
913.86,1006.34,427.15,137.21,535.61,83.4,144.27,148.75
205.33,119.73,91.64,56.67,37.44,3.43,32.52,55.33
394.23,222.69,112.11,46.89,208.96,5.39,0.0,33.4
2099.17,474.13,129.6,286.72,185.54,92.42,0.0,163.85
292.44,184.39,28.34,32.19,120.39,10.0,28.12,55.18
1043.83,390.86,381.73,200.81,356.16,54.38,9.93,309.1
162.12,152.6,54.86,64.83,33.23,16.27,0.0,53.25
1179.3,387.33,237.23,95.44,598.58,23.11,84.43,165.25
414.25,349.7,245.43,176.89,462.95,15.24,22.79,113.33
122.74,48.26,69.82,49.06,96.37,11.52,31.62,19.76
814.51,727.94,642.34,641.09,701.97,103.69,48.16,407.33
387.04,109.02,49.26,181.85,66.98,7.95,0.0,71.23
264.89,79.78,51.34,84.78,202.95,11.19,59.43,80.09
744.99,160.13,280.33,329.94,715.51,21.03,0.0,66.15
1414.54,947.47,167.14,830.36,1301.63,125.02,207.19,282.47
469.79,218.78,63.99,43.18,61.2,17.79,21.4,72.53
484.0,163.46,203.19,165.0,665.72,14.35,0.0,40.25
740.7,284.68,400.48,278.46,694.59,82.21,37.78,115.47
838.19,656.61,360.59,336.16,736.08,111.27,106.58,111.22
453.43,384.8,162.0,46.81,706.85,52.46,120.63,136.23
881.16,195.42,111.21,57.75,426.75,31.48,0.0,72.72
158.58,230.49,40.57,111.43,74.75,5.86,5.79,36.36
474.8,389.06,101.67,156.08,439.69,71.47,99.29,80.7
410.66,53.05,30.0,43.89,191.93,21.21,29.6,18.01
32.19,22.67,5.03,29.22,22.53,6.03,11.99,6.02
572.92,361.19,219.16,112.98,237.07,8.15,144.21,143.68
1867.92,330.23,444.49,188.04,466.7,105.96,193.75,80.37
72.01,65.14,14.52,30.73,44.45,3.92,0.0,23.74
417.1,266.18,54.58,171.77,150.19,18.98,14.14,102.17
1293.95,699.17,593.69,200.65,295.77,21.71,102.53,97.86
4622.65,687.77,529.77,1030.52,735.1,257.32,491.62,220.12
930.16,571.37,150.65,65.88,633.11,39.84,106.07,161.24
622.91,340.63,167.37,121.57,180.58,30.68,39.43,28.05
414.59,499.51,178.57,82.08,323.18,50.63,72.4,113.96
2637.63,1100.5,1051.06,1079.74,1064.46,134.94,0.0,418.61
245.62,392.69,135.86,62.11,169.54,2.4,27.8,61.32
197.37,106.33,98.23,178.16,223.46,14.26,0.0,34.28
542.69,108.87,119.11,197.68,116.39,18.43,41.27,48.44
279.61,48.51,130.1,58.3,220.81,10.47,60.98,32.66
1022.52,437.27,409.28,246.79,171.39,42.4,78.33,222.54
3199.81,1804.13,938.91,180.87,1306.84,78.91,0.0,259.83
1170.14,347.02,420.27,372.58,228.91,64.69,0.0,170.67
463.42,334.85,55.32,110.5,177.63,3.56,9.15,47.32
765.72,225.77,193.0,184.71,208.24,50.94,93.95,60.96
317.05,149.1,69.16,72.92,115.1,4.54,19.88,34.08
934.86,858.32,351.25,395.09,344.91,10.39,109.31,276.47
375.54,261.43,311.0,136.33,358.95,50.79,0.0,82.94
328.96,177.22,150.2,175.97,264.19,49.82,27.92,76.27
9483.22,5895.22,3811.84,1468.48,6437.29,578.89,988.56,2908.72
732.53,253.21,358.55,269.68,155.98,36.17,7.91,239.27
566.87,131.56,128.44,197.34,98.46,14.04,48.99,31.08
655.44,393.29,158.38,59.61,142.89,44.57,59.67,39.22
2440.36,1368.26,456.73,254.61,859.06,70.79,202.55,187.42
768.76,356.77,125.02,56.72,342.4,47.84,18.04,217.81
57.47,39.26,45.59,113.1,132.43,1.29,0.0,12.57
913.37,397.95,176.58,400.33,311.07,25.92,0.0,62.03
159.29,259.07,36.72,86.05,226.22,23.54,0.0,21.86
3068.89,1711.51,593.26,720.09,1836.41,240.88,566.48,672.92
2390.0,273.83,576.08,623.37,303.38,23.84,0.0,141.83
388.55,331.01,51.22,88.05,213.56,24.06,0.0,77.84
711.99,1071.7,846.92,130.77,263.56,35.95,0.0,114.6
274.56,506.15,166.29,183.79,277.38,0.2,30.58,226.55
1140.4,829.28,334.61,84.65,316.6,91.83,36.93,136.06
1674.1,851.67,93.12,141.41,512.28,43.33,143.68,178.79
585.22,205.26,137.88,74.13,260.48,19.52,63.06,111.28
485.25,73.7,80.13,85.9,308.08,3.6,25.48,104.12
597.3,230.56,211.17,388.46,950.56,123.48,84.11,424.13
532.06,315.46,273.59,93.69,268.09,2.73,0.0,36.62
650.85,201.27,254.73,95.05,151.34,16.67,0.0,163.42
416.91,117.01,58.17,78.86,218.55,29.25,1.99,86.89
399.61,793.56,519.47,109.06,442.61,25.85,94.34,191.43
1143.67,2071.48,277.84,1499.31,1800.24,37.82,164.32,741.78
413.38,117.32,108.62,20.76,183.71,14.6,18.8,37.76
691.77,214.01,326.03,243.99,226.86,38.97,97.18,182.26
1970.54,1411.23,566.59,802.91,575.16,88.37,333.82,450.54
988.81,270.71,109.26,114.6,246.07,23.2,24.15,154.56
1211.31,262.18,123.15,358.88,176.69,63.19,74.67,103.32
135.01,141.55,111.73,162.89,54.4,14.01,0.71,30.72
1285.37,751.47,87.36,215.71,695.03,37.81,15.38,89.72
876.01,204.09,135.52,79.07,96.92,40.48,86.07,104.07
1434.72,1159.92,338.5,369.95,873.2,75.14,25.44,371.41
1847.04,1603.49,459.81,436.48,386.84,86.94,188.41,259.16
6327.55,2663.81,554.73,1164.96,1166.86,21.5,778.85,494.2
1771.67,669.28,395.69,111.86,499.88,63.85,160.6,158.36
793.15,666.52,272.04,108.51,279.33,36.77,0.0,76.68
1114.47,209.37,93.28,363.3,410.71,0.12,75.54,37.56
819.02,215.09,84.9,171.31,132.03,15.1,0.0,45.08
1290.46,507.85,334.84,184.82,524.68,85.95,150.55,214.75
217.74,99.85,49.31,221.64,229.84,30.51,58.33,56.93
931.92,226.53,237.85,390.98,165.97,32.13,20.47,126.15
2015.85,381.31,123.46,187.87,1398.08,77.96,114.3,245.5
336.13,143.73,132.96,23.75,112.08,11.87,36.91,99.78
2299.18,755.4,306.16,433.03,283.54,133.47,200.26,540.02
3102.23,307.06,416.44,140.21,347.9,104.12,332.02,310.28
650.68,201.43,188.72,71.64,349.73,55.78,33.4,114.06
74.61,38.79,29.96,40.7,40.9,4.0,0.0,17.66
250.21,81.26,91.51,75.77,198.84,16.38,62.5,35.04
3057.2,313.9,510.17,811.95,1294.16,74.75,320.78,447.03
725.19,452.72,71.51,169.6,385.84,53.13,125.03,48.63
348.62,98.02,155.57,40.77,112.37,18.47,0.0,13.71
161.6,152.68,194.51,163.01,133.77,29.76,0.0,97.97
612.74,737.93,660.81,153.97,298.53,0.73,180.12,193.96
656.37,665.65,239.97,252.22,444.98,72.29,42.64,111.34
714.44,330.9,96.97,156.17,200.55,28.76,41.81,47.28
619.23,129.87,161.61,174.51,227.79,40.94,49.21,63.55
115.17,346.52,174.52,165.56,409.15,5.65,0.0,62.0
329.75,78.55,53.29,62.6,166.56,19.77,47.42,47.69
3051.63,2403.64,955.87,424.7,1204.75,51.5,0.0,499.65
382.8,125.72,129.41,92.85,343.88,19.97,9.25,70.83
2199.79,1266.77,825.12,1101.26,949.57,21.23,71.99,184.54
2208.51,578.74,724.94,560.84,1536.95,177.51,291.9,265.76
2383.25,471.14,281.37,539.22,791.3,34.42,31.99,138.62
229.96,351.4,139.51,231.62,179.83,24.93,84.0,29.58
1171.97,818.76,576.16,185.54,421.87,36.62,0.0,136.9
407.77,318.88,143.29,54.57,383.78,59.91,41.84,166.23
293.47,180.23,112.38,144.58,196.25,24.74,0.0,20.14
